Owner,Number of Plants
Yantai Walsin Stainless Steel Co Ltd,1
Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co Ltd,1
Yunnan Qujing Iron and Steel Group Co Ltd,1
YunNan Province Tiangao Nickel Alloy Co Ltd,1
Yunnan Yuxi Iron and Steel Group Yukun Iron and Steel Co Ltd,1
Yunnan Yuxi Xianfu Iron and Steel (Group) Co Ltd,1
Zenith Steel Group Co Ltd,1
Zenith Steel Group (Nantong) Co Ltd,1
Zhangjiagang Hongchang Steel Co Ltd,1
Zhangjiagang Rongsheng Steel-Making Co Ltd,1
Zhejiang TSINGSHAN IRON&STEEL Co Ltd,1
Zhejiang Wantai Special Steel Co Ltd,1
Zhongpu (Handan) Iron and Steel Co Ltd,1
Zhongxin Iron and Steel Group Co Ltd,1
BERIS Jiangsu Heavy Industry Co Ltd,1
Zhuhai Yueyufeng IRON&STEEL Co Ltd,1
TRINECKÉ ZELEZÁRNY AS,1
AlGioshy Steel SAE,1
Al Ezz Dekheila Steel Company Alexandria SAE,1
Delta Steel Company Ltd,1
Egyptian American Steel Rolling Company SAE,1
Egyptian Sponge Iron & Steel Company SAE,1
Al Ezz Flat Steel Company SAE,1
Ezz Steel Co,1
Suez Steel Company SAE,1
ArcelorMittal Atlantique et Lorraine SAS,1
ArcelorMittal Méditerranée SAS,1
Ascometal France Holding SAS,1
Celsa France SAS,1
Lamines Marchands Europeens SA,1
ALPA - Aciéries et Laminoirs de Paris SAS,1
Iton Seine SAS,1
Sam Montereau SAS,1
Societe des Aciers d'Armature pour le Beton SAS,1
Saarstahl AG,1
ArcelorMittal Bremen GmbH,1
ArcelorMittal Eisenhüttenstadt GmbH,1
ArcelorMittal Hamburg GmbH,1
Benteler Steel/Tube GmbH,1
Stahlwerk Thueringen GmbH,1
Deutsche Edelstahlwerke GmbH,1
ESF Elbe-Stahlwerke Feralpi GmbH,1
Fujian Fuxin Special Steel Co Ltd,1
Badische Stahlwerke GmbH,1
Lech Stahlwerke GmbH,1
BES Brandenburger Elektrostahlwerke GmbH,1
HES Hennigsdorfer Elektrostahlwerke GmbH,1
Peiner Traeger GmbH,1
Sentuo Steel Ltd,1
Hellenic Halyvourgia SA,1
Sidenor Steel Industry SA,1
Sovel SA,1
Corporación AG SA,1
Action Ispat and Power Pvt Ltd,1
Adhunik Metaliks Ltd,1
ArcelorMittal Nippon Steel India Ltd,1
Arjas Steel Pvt Ltd,1
Atibir Industries Co Ltd,1
BMM Ispat Ltd,1
Crest Steel and Power Pvt Ltd,1
ESL Steel Ltd,1
Electrosteel Castings Ltd,1
Dinson Iron & Steel Company Pvt Ltd,1
Gallantt Ispat Ltd,1
Godawari Power and Ispat Ltd,1
Hospet Steels Ltd,1
Algerian Qatari Steel,1
Jai Balaji Jyoti Steels Ltd,1
Jayaswal Neco Industries Ltd,1
Ozmert Algeria SARL,1
Groupe Industriel Sider SpA,1
Tosyali Ironsteel Industry Algerie SpA,1
JSW Green Steel Ltd,1
JSW Ispat Special Products Ltd,1
JSW Vijayanagar Metallics Ltd,1
KIC Metaliks Ltd,1
Ada - Aceria De Angola SA,1
Mesco Kalinga Steel Ltd,1
Mono Steel (India) Ltd,1
MSP Steel & Power Ltd,1
NR Ispat and Power Pvt Ltd,1
Neelachal Ispat Nigam Ltd,1
Nilachal Iron & Power Ltd,1
NMDC Steel Ltd,1
Companhia Siderurgica do Cuchi SA,1
Orissa Sponge Iron and Steel Ltd,1
Prakash Industries Ltd,1
Prakash Sponge Iron and Power Pvt Ltd,1
Ramsarup Industries Ltd,1
Rashmi Metaliks Ltd,1
Rashtriya Ispat Nigam Ltd,1
Acindar Industria Argentina de Aceros SA,1
Sipar Aceros SA,1
Shakambhari Ispat & Power Ltd,1
Shri Bajrang Power and Ispat Ltd,1
Siderca SAIC,1
Shyam Steel Manufacturing Ltd,1
